Category,Name,Description,Price,Note,,,,,,
BOTTLED AND CANNED BEER,Chang (Small).,,120,plus vat & service 10%,,,,,,
,Chang (Large).,,150,,,,,,,
,Chang Cold Brew (XL Can).,,150,,,,,,,
,Singha (Small).,,130,,,,,,,
,Singha (Large),,160,,,,,,,
,Asahi (Small).,,160,,,,,,,
,Corona Extra (Small).,,200,,,,,,,
DRAFT BEER,Chang - Glass (330ml).,,100,,,,,,,
,Chang - Glass (Pint).,,140,,,,,,,
,Chang - Pitcher (1L).,,270,,,,,,,
,Chang - Tower (3L).,,750,,,,,,,
SOFT DRINKS,Coca Cola.,,40,,,,,,,
,Diet Coke.,,40,,,,,,,
,Sprite.,,40,,,,,,,
,Manao Soda.,,40,,,,,,,
,Tonic Water.,,40,,,,,,,
,Ginger Ale.,,40,,,,,,,
,Soda Water.,,40,,,,,,,
,Bottled Water.,,35,,,,,,,
MILKSHAKES,O.G. Prince Theatre.,"Vanilla ice cream, Fresh milk, Caramel, Popcorn",180,,,,,,,
,Junior Yoda.,"Avocado, Vanilla ice cream, fresh and sweetened milk, whipped cream",220,,,,,,,
,Lushmore. (Contains Alcohol),"Kahlua, Amaretto, Hershey's chocolate, Vanilla ice cream",300,,,,,,,
COFFEE,Espresso,,70,,,,,,,
,Americano,,80,,,,,,,
,Latte,,90,,,,,,,
,Cappuccino,,90,,,,,,,
THAI LOOSE LEAF TEA,Kaneungdara,"Mixed Berries, Assam Tea, Mango",55,,,,,,,
,Sasiruthai,"Chamomile, Rose, Mulberry, Lotus pollen",55,,,,,,,
,Rapeerumpant,"Chrysanthemum, Assam tea, Oolong tea, Coffee Blossom, Beal",80,,,,,,,
NON-ALCOHOLIC,Thai Tea,,80,,,,,,,
,Iced Chocolate.,,120,,,,,,,
,Orange Juice.,,80,,,,,,,
,Pineapple Juice.,,90,,,,,,,
,Fresh Lime Soda.,,90,,,,,,,
,Iced Lemon Tea.,,80,,,,,,,
LIGHT AND FRESH,Last of the Mojitos.,"White Rum, Lime, Mint",260,,,,,,,
,Daiq' to the Future.,"White Rum, Lime, Sugar",260,,,,,,,
,Blade Rummer (Pina Colada),"White Rum, Malibu, Pineapple Juice, Coconut Cream",270,,,,,,,
CLASSICS,Tequila Mockingbird (Margarita).,"Tequila, Triple Sec, Lime juice",270,,,,,,,
,The Monica Vitti (Americano Highball).,"Campari, Sweet Vermouth, Soda",260,,,,,,,
,The Rick Dalton (Whisky Sour).,"Bourbon, Yuzu Juice, Lemon, Egg White",260,,,,,,,
,The Dude (White Russian),"Vodka, Kahlua, Milk",280,,,,,,,
NON-ALCOHOLIC,The 40 Year Old Virgin Mojito.,"Lime, Mint, Ginger Ale",100,,,,,,,
,Peach Rosy Soda.,"Peach, Rose, Lime, Soda",140,,,,,,,
STRONG AND BOOZY,Gone with the Gin (Dry Martini).,"London Dry Gin, Dry Vermouth",280,,,,,,,
,Long Island E. T.,"Gin, Rum Vodka, Tequila, Triple Sec, Cocla Cola",300,,,,,,,
,No Country for Old Fashioneds.,"Bourbon, Angostura Bitters, Orange",280,,,,,,,
,La Dolce Vita (Negroni),"Gin, Campari, Sweet Vermouth",300,,,,,,,
,Whisky Business (Manhattan).,"Rye whiskey, Sweet Vermouth, Angostura Bitters",320,,,,,,,
,Sleepless in Seattle (Espresso Martini).,"Vodka, Kahlua Liquerur, Espresso",280,,,,,,,
WINE,Red wine.,Tempranillo -Spain-(Campo Viejo),250,,,,,,,
,White wine.,Sauvignon Blanc - New Zealand - (Brancott Estate),250,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
All Toast,ปังปิ้ง แยมสตรอว์เบอร์รี,Strawberry Jam Toast,40,1 piece,,,,,,
,ปังปิ้งไก่หยองพริกเผา,Chili Paste + Pulled Chicken Toast,40,1 piece,,,,,,
,ปังปิ้ง นมข้นไมโล,Milo Powder with Condensed Milk Toast,40,1 piece,,,,,,
,ปังปิ้ง สังขยา,Pandan Custard Toast,40,1 piece,,,,,,
,ปังปิ้ง สังขยาชาไทย,Thai Tea Custard Toast,40,1 piece,,,,,,
,ปังปิ้ง เนย+นม+น้ำตาล,Sugar+Condensed Milk Sweet Toast,40,1 piece,,,,,,
Cafe Boran,Thai Tea Version,"Served with: Coddled Egg, strips of toast, condensed milk custard.",99,,,,,,,
,Milo Version,"Served with: Coddled Egg, strips of toast, condensed milk custard.",99,,,,,,,
,Coffee Boran Version,"Served with: Coddled Egg, strips of toast, condensed milk custard.",99,,,,,,,
,,,,,,,,,,
Lunch & Sandwiches,Diner-Style Tuna Melt,Tuna Mayo and melted cheddar cheese slices on toasted white bread,190,,,,,,,
,BLT,"Streaky bacon, lettuce, and tomato with mayo on toasted white bread",190,,,,,,,
,Kimchi Grilled Cheese,"Korean kimchi, cheddar and mozzarellacheese on toasted white bread",250,,,,,,,
,Avocado Bacon Grilled Cheese,"Avocado slices, melted American cheese, tomato, streaky bacon on toasted white bread",250,,,,,,,
,Exxtra Cheesy Grilled Cheese,Loads of melted cheddar and mozzarella cheese on toasted white bread,200,,,,,,,
,Caesar Salad.,"Romaine lettuce, homemade croutons, tangy caesar dressing, cherry tomatoes, bacon bits",200,,,,,,,
,French Fries XL,,100,,,,,,,
,Sweet Potato Fries,,120,,,,,,,
,Cheesy Jalapeno Poppers,,160,,,,,,,
,,,,,,,,,,
Breakfast Menu,Breakfast Sandwich,"Sarnies sourdough, American cheese, streaky bacon, choice of scrambled or poached eggs",250,,,,,,,
,Avocado Toast,"Sarnies sourdough, smashed avocado, cherry tomatoes, choice of scrambled or fried eggs",280,,,,,,,
,Banana Pancakes,"Two buttermilk pancakes, sliced banana, maple syrup ",200,,,,,,,
,Granola Yoghurt,Homemade granola greek yoghurt,230,,,,,,,
,Espresso,,80,,,,,,,
,Americano,,80,,,,,,,
,Cappuccino,,90,,,,,,,
,Latte,,90,,,,,,,
,,,,,,,,,,
Pasta,SPAGHETTI CARBONARA BACON & HAM,,190,,,,,,,
,PENNE CHICKEN | BACON | TRUFFLE SAUCE,,190,,,,,,,
