Category,Name,Description,Price,Note,,,,,,
Snacks,Crab Beignets,Southern curry sauce | betel leaf (3 pcs),280,,,,,,,
,Raw Phetchaburi Oyster,Coconut Nam Prik Pao | smoked coconut cream | Caviar (5 pcs),790,,,,,,,
,Kwann's Miang Kham,"Cured local mackerel | Betel leaf pesto | Toasted Coconut & peanut tuile I Fresh lime, Ginger (3 pcs)",240,,,,,,,
,"Fired Sauteed Green Beans ""Kra Tong Thong""",Sea grape paste | seaweed batter | black truffle (3 pcs),280,,,,,,,
Cold & Hot Starters,Yum' of Local Seaweed and Cucumber,Seaweed paste | Spicy Local Citrus Vinaigrette,350,,,,,,,
,Thai Style Agua Chile White Prawn,Avocado | cilantro | sour mango vinaigrette,520,,,,,,,
,Soy Marinated Yellowtail Tuna,Orange vinaigrette | Chili paste | pomelo,420,,,,,,,
,Thai Wagyu Beef Tartare,Beef Garum | charred chili powder l smoke egg yolk I crispy shallots I Hua Hin Caviar,720,,,,,,,
,Lightly Smoked Local White Fish Salad,Compressed watermelon | spicy tomato vinaigrette | kaffir lime,420,,,,,,,
,Slow Fire Roasted Thai Wagyu Beef Tongue,"""Nam Tok"" style spicy salad | fresh herbs | toasted rice",590,,,,,,,
Off the Grill,Grilled Marinated Chicken,Fermented Som Tum Kimchi l herbal curry sauce,"700 / 1,300",,,,,,,
,Smoked Pork Ribs,Sweet chili glaze | In-house condiments,500,(1/2 portion),,,,,,
,Smoked Pork Ribs,Sweet chili glaze | In-house condiments,950,(full portion),,,,,,
,Taro Terrine,Massaman I pickled shallots,320,,,,,,,
,Fire Roasted Crispy Pork Belly,"Phad Prik Khing, fried basil",420,(1/2 portion),,,,,,
,Fire Roasted Crispy Pork Belly,"Phad Prik Khing, fried basil",790,(full portion),,,,,,
,Fire Roasted Local Horse Mackerel,Mixed herb avocado sauce l passion fruit vinaigrette,520,,,,,,,
,Kwann Style Roasted Duck,Chinese pancake | in-house Hoisin ! condiments,"1,300",(1/2 portion),,,,,,
,Kwann Style Roasted Duck,Chinese pancake | in-house Hoisin ! condiments,"2,500",(full portion),,,,,,
,Smoked Pork Jowl,Shrimp paste I fire roasted green beans,420,(1/2 portion),,,,,,
,Smoked Pork Jowl,Shrimp paste I fire roasted green beans,790,(full portion),,,,,,
,Smoked Short Ribs,Massaman I seasonal Ajad NK Wagyu,"1,290",300 g.,,,,,,
,Smoked Short Ribs,Massaman I seasonal Ajad NK Wagyu,"2,400",600 g.,,,,,,
,Smoked and Grilled Mushroom,Charred onion I Thai herb chimichurri I mushroom sauce,490,,,,,,,
,Grilled Local Beef,Mushroom sauce I fire roasted local mushroom,(market price),,,,,,,
,Fire Roasted Green Beans,Smoked lard,390,,,,,,,
,Grilled Leek,Oyster sauce | seasonal clam | garlic chili oil,490,,,,,,,
Relishes & Soup,Coconut Relish,Smoked crab I seasonal fruits and vegetables,690,,,,,,,
,Nam Prik Ga La Goong,Grilled coconut and shrimp relish I seasonal fruits and vegetables,420,,,,,,,
,Tom Kla,Coconut and mushroom broth I banana blossom I galangal oil,280,,,,,,,
,Tomatoes Relish,Sundried tomatoes I smoked Lion's Mane l seasonal fruits and vegetables,270,,,,,,,
,Smoked Coconut Tom Yum,Local fish I tomatoes I crispy garlic,520,,,,,,,
Rice,"Kwann ""Kao Ji'",Fire roasted shrimp & sundried tomatoes,490,,,,,,,
,Crispy Grilled Rice,Sundried beef | Crispy garlic | Spring onion,550,,,,,,,
,Kwann Fire Roasted Garlic Rice,Organic Egg I Fried Garlic,190,,,,,,,
Desserts,Grilled Pineapple Sorbet,Pineapple vinaigrette I local citrus,250,,,,,,,
,"""Kanom Mor Gaeng'",Basque cheese cake | Coconut Ice cream,320,,,,,,,
,Coconut & Corn Butter,Corn ice cream | Coconut meringue | Coconut cake | Popcorn,340,,,,,,,
,Thong Muan,Coconut ice cream | keelo | salted egg sauce | seasonal fruits,320,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
