Category,Name,Description,Price,Note,,,,,,
RECOMMENDED MENU,เนื้อปูก้อนผัดผงกะหรี่,Stir-fried Crab Meat with Curry Powder.,350,plus vat & service 10%,,,,,,
,ขนมจีบปูก้อน,Crab Shumai,179,,,,,,,
,รังนกตุ๋นแปะก๊วย,Bird Nest Soup with Ginkgo Nuts,129,,,,,,,
,หอยเซลล์ผัดซอส XO,Scallop Carpaccio with XO Sauce,399,,,,,,,
,ฮะเก๋ากระต่าย,Bunny Har Gow,129,,,,,,,
APPETIZER,ไก่แซ่เหล้า,Drunken Chicken,179,,,,,,,
,ยำแมงกะพรุนน้ำมันงา,Jelly Fish with Seasame Oil,179,,,,,,,
,เกี๊ยวซ่าทอด,Pan Fried Gyoza,99,,,,,,,
,ยำแตงกวาเสฉวน,Szechuan Gucumber Salad,89,,,,,,,
SOUP,บักกุดเต๋รากบัว,Bak Kut Teh with Lotus Root,249,,,,,,,
,ซุปเสฉวน,Szechuan Soup,149,,,,,,,
,ซุปเยื่อไผ่,Bamboo Mushroom Soup,149,,,,,,,
,ซุปปูก้อนไข่ข้น,Egg Drop Soup with Crab Meat,139,,,,,,,
,บักกุดเต๋ (ชุด) (ผักสด + เห็ดเข็มทอง),Bak Kut Teh (Set),279,,,,,,,
PREMIUM DIM SUM,ขนมจีบปูก้อน,Crab Shumai,179,,,,,,,
,กุ้งซอสซีฟู้ด,Shrimp Dumpling in Seafood Sauce,149,,,,,,,
,กุ้งซอส XO,Shrimp Dumpling in XO Sauce,149,,,,,,,
,แซลมอนซอสซีฟู้ด,Salmon in Seafood Sauce,149,,,,,,,
,ฮะเก๋าเสฉวน,Szechuan Har Gow,149,,,,,,,
,ฮะเก๋าปลาทอง,Gold Fish Har Gow,139,,,,,,,
,ขนมจีบกุ้ง,Shrimp Shumai,139,,,,,,,
,สาหร่ายห่อกุ้ง,Shrimp Seaweed Roll,79,,,,,,,
,เสี่ยวหลงเปา,Xiao Long Bao,149,,,,,,,
,เป๋าฮื้อแต้มกุ้ง,Abalone Topped with Shrimp in Soya Sauce,99,,,,,,,
,กุ้งราดซอสผงกะหรี่,Shrimp with Curry Powder,79,,,,,,,
,ปลากะพงนึ่งซีอิ๊ว,Steamed Sea Bass in Soya Sauce,79,,,,,,,
,ซี่โครงอ่อนเต้าซี่,Spare Ribs in Black Bean Sauce,79,,,,,,,
,หมั่นโถวสังขยากุหลาบ,Steamed Mantou with Thai Pandan Custard,79,,,,,,,
,ซาลาเปาลาวา,Salted Egg Lava Bun,59,,,,,,,
,ซาลาเปาจักรพรรดิ,Emperor Bun,49,,,,,,,
,ซาลาเปาไส้หมูแดง,BBQ Pork Bun,49,,,,,,,
,ฮะเก๋ากระต่าย,Bunny Har Gow,129,,,,,,,
,ซาลาเปาไส้หมูสับไข่เค็ม,Minced Pork with Salty Egg Bun,49,,,,,,,
FRIED DIM SUM,เผือกทอด 3 สหาย,Deep Fried Taro,129,,,,,,,
,ปอเปี๊ยะกุ้งทอด,Shrimp Spring Rolls,149,,,,,,,
,ฟองเต้าหู้ห่อกุ้งทอด,Deep Fried Shrimp Wrapped in Tofu Skin,79,,,,,,,
,หมั่นโถวทอดสังขยา,Fried Mantou with Thai Pandan Custard,79,,,,,,,
MAIN DISHES,เป๋าฮื้อเจี๋ยนคะน้าฮ่องกง,Braised Abalone with Hong Kong Kailan,999,,,,,,,
,หอยเชลล์ผัดซอส XO,Scallop Carpaccio with XO Sauce,399,,,,,,,
,เนื้อปูก้อนผัดผงกะหรี่,Stir-Fried Crab Meat with Curry Powder,350,,,,,,,
,ผักสามสหายซอสมันกุ้ง,Stir-Fried Mixed Vegetables with Shrimp Paste and Bean Oil Sauce,179,,,,,,,
,หม่าฟ่อเต้าฟู่,Mapo Tofu,179,,,,,,,
,ก๋วยเตี๋ยวหลอดไส้กุ้ง,Shrimp Rice Noodle Rolls,179,,,,,,,
,หอยยัดไส้กุ้ง,Shrimp Stuffed Clams,179,,,,,,,
RICE / NOODLE,ราดหน้า 3 เซียน,Rice Noodle with Seafood in Gravy,299,,,,,,,
,เกี๊ยวกุ้งเสฉวน,Shrimp Wonton with Szechuan Sauce,179,,,,,,,
,ราดหน้าปลากะพงเต้าซี่,Rice Noodle with Sea Bass in Gravy,179,,,,,,,
,ผัดเส้นใหญ่ทรงเครื่อง,Stir - Fried Noodle,179,,,,,,,
