Category,Name,Description,Price,Note,,,,,,
Grilled Set,เนื้อย่างซอสเกาหลี,MARINATED BEEF WITH KOREAN SAUCE,320,,,,,,,
,เนื้อย่างหมักน้ำมันงา,MARINATED BEEF WITH SESAME OIL,320,,,,,,,
,เนื้อย่างสไลด์ซอสเกาหลี,MARINATED BEEF SLICE WITH KOREAN SAUCE,320,,,,,,,
,เนื้อย่างสไลด์หมักน้ำมันงา,MARINATED BEEF SLICE WITH SESAME OIL,320,,,,,,,
,หมูย่างซอสเกาหลี,MARINATED PORK WITH KOREAN SAUCE,280,,,,,,,
,หมูย่างหมักน้ำมันงา,MARINATED PORK WITH SESAME OIL,280,,,,,,,
,หมูสามชั้นสไลด์ย่างซอสเกาหลี,STREAKY PORK SLICE WITH KOREAN SAUCE,280,,,,,,,
,หมูสามชั้นสไลด์หมักน้ำมันงา,STREAKY PORK SLICE WITH SESAME OIL,280,,,,,,,
,ไส้หมูซอสเกาหลี,PORK GUTS KOREAN SAUCE,250,,,,,,,
,หมูสามชั้นย่างซอสเกาหลี,STREAKY PORK WITH KOREAN SAUCE,280,,,,,,,
,หมูสามชั้นหมักน้ำมันงา,STREAKY PORK WITH SESAME OIL,280,,,,,,,
,เบคอนย่างซอสเกาหลิ,BACON WITH KOREAN SAUCE,240,,,,,,,
,เบคอนหมักน้ำมันงา,BACON WITH SESAME OIL,240,,,,,,,
,,,,,,,,,,
Drink,น้ำเปล่า,,20,,,,,,,
,น้ำแข็ง (ถัง),,30,,,,,,,
,โค๊ก,,25,,,,,,,
,โค๊ก ซีโร่,,25,,,,,,,
,สไปรท์,,25,,,,,,,
,JINRO SOJU FRESH,,220,,,,,,,
,JINRO SOJU GREEN GRAPE,,220,,,,,,,
,CHUMCHURUM SOJU PEACH,,220,,,,,,,
,CHUMCHURUM SOJU YOGURT,,220,,,,,,,
,CHUMCHURUM SOJU CITRON,,220,,,,,,,
,SAKE YUZU,,260,,,,,,,
,มักกอลลี พีช,,250,,,,,,,
,มักกอลลี องุ่นเขียว,,250,,,,,,,
,เบียร์ สิงห์,,100,,,,,,,
,CASS BEER,,190,,,,,,,
,ASAHI DRAFT BEER / GLASS,,98,,,,,,,
,ASAHI DRAFT BEER / JUC,,259,,,,,,,
,UME TAIRAKU เหล้าบ๊วย,,600,,,,,,,
,ริเจนซี่,,600,,,,,,,
,โซดา,,20,,,,,,,
,,,,,,,,,,
,บูเดจิเก (หม้อไฟเกาหลี),,250,,,,,,,
,บูเดจิเก ตัมยำ (หม้อไฟเกาหลี),,250,,,,,,,
,บูเดจิเก ซีฟู๊ด (หม้อไฟเกาหลี),,350,,,,,,,
,บูเดจิเก ซีฟู๊ด ต้มยำ (ซีฟู๊ดหม้อไฟเกาหลีดัมยำ),,350,,,,,,,
,คับจาทัง (เล้งหม้อไฟเกาหลี),,350,,,,,,,
,เส้นรามยอน,,50,,,,,,,
,เนื้อหมู,,60,,,,,,,
,ต๊อกโบกี,,50,,,,,,,
,ออมุก,,45,,,,,,,
,ไส้กรอก,,45,,,,,,,
,ชิกุวะ,,60,,,,,,,
,ปลาทรงเครื่อง,,75,,,,,,,
,กะหล่ำปลียัดใส้,,50,,,,,,,
,ไข่ไก่,,15,,,,,,,
,ชีส,,25,,,,,,,
,กุ้ง 4 ตัว,,80,,,,,,,
,หอยแมงภู่นิวซีแลนด์,,80,,,,,,,
,เนื้อปลากระพง,,80,,,,,,,
,หอยตลับ,,50,,,,,,,
,หมีก,,80,,,,,,,
,ปิกไก่ทอดสวิทแอนด์สไปซ,6 ชื้น,155,,,,,,,
,สะโพกทอดสวีทแอนด์สไปซ,5 ชิ้น,155,,,,,,,
,ปิกไก่ทอดฮันนี่ การ์ลิค,6 ชื้น,155,,,,,,,
,สะโพกทอดฮันนี่ การ์ลิค,5 ชิ้น,155,,,,,,,
,ปิกไก่ทอดออนเนี่ยนคริมชิส,6 ชื้น,155,,,,,,,
,สะโพกทอดออนเนี่ยนครีมชีส,5 ชิ้น,155,,,,,,,
,ปีกไก่ทอดหม่าล่า,6 ชื้น,155,,,,,,,
,สะโพกทอดหม่าล่า,5 ชิ้น,155,,,,,,,
,ทาโกะวาซาบิ,,100,,,,,,,
,กิมจิ,,50,,,,,,,
,สาหร่ายแผ่น,,30,,,,,,,
,ไซเท้าดอง,,30,,,,,,,
,แมงกระพรุนน้ำมันงา,,100,,,,,,,
,ถั่วแระญี่ปุ่น,,60,,,,,,,
,แซลมอนดอง,,280,,,,,,,
,กุ้งดอง,,240,,,,,,,
,หมีกดอง,,240,,,,,,,
,ปีกหมึก,,150,,,,,,,
,ซุปเนื้อตุ๋นเกาหลี,,320,,,,,,,
,ซุปกิมจิเด้าหู้อ่อน,,170,,,,,,,
,ซุปมันดู,,150,,,,,,,
,ไข่ตุ๋นชีส,,120,,,,,,,
,โอเด้ง,,180,,,,,,,
,ซัมกเยทัง (ไก่ตุ๋นโสม),,185,,,,,,,
,ข้าวเกาหลี,,20,,,,,,,
,ข้าวผัดกระเทียม,,40,,,,,,,
,หมูสามชั้นย่าง,,280,,,,,,,
,หมูสามชั้นโรล กิมจิครีมชีส,,280,,,,,,,
,คาลบิจิม (ซี่โครงหมูอบ),,250,,,,,,,
