Category,Name,Description,Price,Note,,,,,,
Appetizer,ครีมซุปมันกุ้ง,Cream of Shrimp Bisque,250,,,,,,,
,ครีมซุปเห็ด,Cream of Mushroom,180,,,,,,,
,กุ้งเช่น้ำปลา,Raw Shrimp with Fish Sauce,250,,,,,,,
,เฟรนช์ฟรายส์รวม,Mixed Fries,160,,,,,,,
,ไส้กรอกรวม,Mixed Sausages,220,,,,,,,
,ไส้กรอกอีสาน,Thai North Eastern Style Sausages,150,,,,,,,
,คางกุ้งทอด,Fried Shrimp Chin,150,,,,,,,
,คาลามารี (ซอสไข่แดงเค็ม),Calamari with Salted Egg Sauce,220,,,,,,,
,ปีกไก่กลางทอดคั่วพริกเกลือ,Salt and Pepper Fried Chicken Wings,180,,,,,,,
,ปึกไก่ทอดซอสบาร์บีคิว,BBQ Sauce Fried Chicken Wings,180,,,,,,,
,"มิกซ์ฟรายด์ (นักเก็ตไก่, ปีกไก่ทอดและเฟรนช์ฟรายส์)","Mix Fried (Nuggets, Fried Chicken Wings and French Fries)",250,,,,,,,
,หมูทอด,Crispy Marinated Pork,180,,,,,,,
,หมูสามชั้นคั่วพริกเกลือ,Salt and Pepper Pork Belly,200,,,,,,,
,หอยแมลงภู่นิวซีแลนด์อบชีส,New Zealand Mussel Au Gratin,320,,,,,,,
,ลาบหมูทอด,Crispy Laab Pork,180,,,,,,,
,เอ็นข้อไก่ทอด,Fried Chicken Tendons,160,,,,,,,
,แหนมเอ็นข้อไก่ทอด,Deep Fried Fermented Chicken Tendons,160,,,,,,,
,เม็ดมะม่วงหิมพานต์,Fried Cashew Nuts,160,,,,,,,
,ถั่วแระญี่ปุ่น,Edamame,90,,,,,,,
,ปอเปี๊ยะกุ้ง,Shrimp Spring Roll,120,,,,,,,
A La Carte,ข้าวไข่ข้นทะเลกระเทียม,Rice and Omelette with Garlic Seafood,220,,,,,,,
,ข้าวไข่ข้นหมูสามชั้นผัดพริกเกลือ,Rice and Omelette with Salt and Pepper Pork Belly,190,,,,,,,
,ข้าวกะเพราหมูสามชั้นไข่ออนเซ็น,Basil Pork Belly with Poached Egg Served with Rice,190,,,,,,,
,ข้าวหมูสามชั้นผัดพริกเกลือ ไข่ออนเซ็น,Salt and Pepper Pork Belly with Poached Egg Served with Rice,190,,,,,,,
,ผัดไทยกุ้งสดห่อไข่,Pad Thai Shrimp Served with Omelette,220,,,,,,,
,ข้าวผัดต้มยำทะเล,Tom Yum Fried Rice with Seafood,250,,,,,,,
,ข้าวกะเพราแซลมอนกรอบ ไข่ออนเซ็น,Basil Crispy Salmon with Poach Egg Served with Rice,250,,,,,,,
Main Dish,หมึกนึ่งมะนาว,Steamed Calamari with Chili Sauce,190,,,,,,,
,เบอร์เกอร์เนื้อ,Beef Burger,250,,,,,,,
,เบอร์เกอร์หมู,Pork Burger,210,,,,,,,
,แซลมอนย่างเกลือ ข้าวมัน และสลัดผลไม้,Grilled Salted Salmon Served with Coconut Milk Steamed Rice and Fruits Salad,320,,,,,,,
,แซลมอนย่างเกลือ ข้าวผัดเนยกระเทียม,Grilled Salted Salmon Served with Butter Fried Rice,320,,,,,,,
,ปลากะพงย่าง ครัชสมุนไพร มันบดและน้ำเกรวี่,Grilled Sea Bass with Thai Herbs Served with Mass Potatoes and Gravy,350,,,,,,,
,ฟิชแอนด์ชิปส์,Fish and Chips,280,,,,,,,
,อกไก่ซูวี่ย่างครีมซอสเห็ด ผักโขมผัดเนย กระเทียม และมันบด,Grilled Sous Vide Chicken Breast Top with Mushroom Cream Sauce,280,,,,,,,
,ขาหมูเยอรมัน,Crispy Pork Knuckle,590,,,,,,,
Salad,ซีซาร์สลัด,Caesar Salad,220,,,,,,,
,สลัดเนื้อย่าง น้ำสลัดบัลซามิก,Grilled Steaks Salad with Balsamic Dressing,290,,,,,,,
,สลัดแซลมอนรมควัน น้ำสลัดงาญี่ปุ่น,Smoked Salmon Salad with Japanese Seasame Soy Dressing,320,,,,,,,
,สลัดทูน่า น้ำสลัดฮันนี่มัสตาร์ด,Tuna Salad with Honey Mustard Dressing,220,,,,,,,
,สลัดผลไม้รวมน้ำสลัดเทาส์ซันไอส์แลนด์,Mixed Fruits Salad with Thousand Islands Dressing,220,,,,,,,
,สลัดผักย่าง น้ำสลัดฮันนี่มัสตาร์ด,Grilled Mixed Vegetable Salad with Honey Mustard Dressing,220,,,,,,,
SOUP,โป๊ะแตกทะเลน้ำใส,Spicy and Sour Seafood Soup,300,,,,,,,
,ต้มยำกุ้งน้ำข้น,Tom Yum Shrimp,250,,,,,,,
,ต้มยำทะเลน้ำข้น,Tom Yum Seafood,300,,,,,,,
,ต้มแซ่บกระดูกอ่อน,Sour and Spicy Pork Rib Soup,220,,,,,,,
,ต้มแซ่บไก่,Sour and Spicy Chicken Soup,180,,,,,,,
Spaghetti,พาสต้าครีมซอสเห็ด,Pasta with Cream of Mushroom Sauce,220,,,,,,,
,พาสต้าคาโบนาร่าไข่กุ้งเบคอน,Pasta Carbonara with Tobiko and Bacon,250,,,,,,,
,พาสต้าซอสมันกุ้ง กุ้งย่าง,Pasta with Shrimp Bisque Sauce and Grilled Prawn,280,,,,,,,
,พาสต้าพริกกระเทียมเบคอน,Pasta with Chili Garlic and Bacon,220,,,,,,,
,พาสต้าหอยลายผัดพริกแห้ง,Pasta with Roasted Chili and Clams,220,,,,,,,
Yum,ปลากะพงลุยสวน,Sea Bass in Spicy Herb Salad,350,,,,,,,
,แซลมอนลุยสวน,Salmon in Spicy Herb Salad,300,,,,,,,
,ยำรวมมิตรทะเล,Thai Spicy Seafood Salad,280,,,,,,,
,ยำวุ้นเส้นทะเล,Glass Noodle Salad with Chili Lime Dressing and Seafood,280,,,,,,,
,ยำเนื้อย่าง,Grilled Beef Salad with Chili Lime Dressing,250,,,,,,,
,ยำไก่ย่าง,Grilled Chicken Salad with Chili Lime Dressing,220,,,,,,,
,ยำหมูย่าง,Grilled Pork Salad with Chili Lime Dressing,220,,,,,,,
,ยำวุ้นเส้นหมูสับ,Glass Noodle Salad with Chili Lime Dressing and Minced Pork,180,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
