Category,Name,Description,Price,Note,,,,,,
เมนูยำ,รอแน่อร่อยนาน (ผัดยำกรอบ),,190,,,,,,,
,"ลวกจิ้ม กุ้ง,หมึก,ทะเล,ปลากระพง",,190,,,,,,,
,แซลม่อนดองซีอิ้ว,,190,,,,,,,
,รอหน่อยอร่อยแน่ (เห่าดงเนื้อ),,170,,,,,,,
,เห่าดงหมู,,150,,,,,,,
,เนื้อตุ๋นลวกจิ้ม,,170,,,,,,,
,หมูอร่อย,,170,,,,,,,
,กุ้งแซ่น้ำปลา,,170,,,,,,,
,แซลม่อนแช่น้ำปลา I ซาซิมิ,,190,,,,,,,
,กุ้งดองซีอิ้ว,,190,,,,,,,
,ลาบปลาแซลม่อน,,190,,,,,,,
,ลาบปลานิล,จาน,120,,,,,,,
,ลาบปลานิล,ตัว,250,,,,,,,
,ลาบปลาทับทิม,จาน,180,,,,,,,
,ลาบปลาทับทิม,ตัว,320,,,,,,,
,ลาบปลาช่อน,จาน,180,,,,,,,
,ลาบปลาช่อน,ตัว,320,,,,,,,
,"ลาบ หมู, ไก่ I เนื้อ,เป็ด",S,80,,,,,,,
,"ลาบ หมู, ไก่ I เนื้อ,เป็ด",M,90,,,,,,,
,"ลาบ หมู, ไก่ I เนื้อ,เป็ด",L,140,,,,,,,
,"น้ำตก หมู I เนื้อ,เป็ด",S,80,,,,,,,
,"น้ำตก หมู I เนื้อ,เป็ด",M,90,,,,,,,
,"น้ำตก หมู I เนื้อ,เป็ด",L,140,,,,,,,
,ก้อยมะนาว หมู I เนื้อ,,90,,,,,,,
,ก้อยคั่ว หมู I เนื้อ,,90,,,,,,,
,ยำกุ้งฟู,,170,,,,,,,
,ยำกุ้งสด,,170,,,,,,,
,ลาบปลาหมึก,,120,,,,,,,
,ยำวุ้นเส้นหมูสับ,,150,,,,,,,
,ยำหอยนางรม,,180,,,,,,,
,ยำหอยแครง,,180,,,,,,,
,ยำรวมมิตรทะเล,,120,,,,,,,
,ยำวุ้นเส้นโบราณ,,190,,,,,,,
,ยำแซลม่อน,,160,,,,,,,
,ยำหมูกรอบ,,180,,,,,,,
,ยำรวมมิตรทะเล,,170,,,,,,,
,ยำสามกรอบ,,160,,,,,,,
,ยำหมูกรอบ,,140,,,,,,,
,ยำหมูยอ,,170,,,,,,,
,ยำปลาหมึก,,170,,,,,,,
,กุ้งชนไก่,,150,,,,,,,
,ปลากระพงชนไก่,,150,,,,,,,
,ไก่สามอย่าง,,70,,,,,,,
,หอยนางรมทรงเครื่อง,,150,,,,,,,
,พล่ากุ้ง,,180,,,,,,,
,พล่ากุ้ง แม่น้ำ,,220,,,,,,,
,พล่าหอยนางรม,,180,,,,,,,
,พล่าหอยแครง,,180,,,,,,,
,ยำผักบุ้งกรอบ,,120,,,,,,,
,ยำไข่แดง,,120,,,,,,,
,ยำกุ้งแห้งไข่เค็ม,,120,,,,,,,
,ข้าวเหนียว,,10,,,,,,,
,ขนมจีน,,10,,,,,,,
เมนูเผา,เมี่ยงปลานิลเผาทรงเครื่อง,,290,,,,,,,
,รอนานอร่อยแน่ (เมี่ยงปลากระพงเผาทรงเครื่อง),,340,,,,,,,
,เมี่ยงปลาซ่อนเผาทรงเครื่อง,,320,,,,,,,
,เมี่ยงปลาทับทิมเผาทรงเครื่อง,,320,,,,,,,
,เมี่ยงปลานิลเผา,,250,,,,,,,
,เมี่ยงปลากระพงเผา,,290,,,,,,,
,เมี่ยงปลาซ่อนเผา,,290,,,,,,,
,เมี่ยงปลาทับทิมเผา,,290,,,,,,,
,ทะเลรวมเผา,,859,,,,,,,
,กุ้งแม่น้ำ,,ราคาตามขนาด และ น้ำหนัก,,,,,,,
,หมีกย่าง I มีไข่ I ไม่มีไข่,,ราคาตามน้ำหนัก,,,,,,,
,หมึกย่าง | มีไข่ | ไม่มีไข่ I หมีกกระดอง,,ราคาตามน้ำหนัก,,,,,,,
,หอยหวาน,ครึ่งโล,180,,,,,,,
,หอยหวาน,1กิโล,300,,,,,,,
,หอยแครง,ครึ่งโล,200,,,,,,,
,หอยแครง,1กิโล,360,,,,,,,
,หอยแมลงภู่นิวซีแลนด์ อบ I เผา I อบซีส | อบสนุนไพร,ครึ่งโล,180,,,,,,,
,หอยแมลงภู่นิวซีแลนด์ อบ I เผา I อบซีส | อบสนุนไพร,1กิโล,300,,,,,,,
เมนูแนะนำ,กุ้งอบวุ้นเส้น,,190,,,,,,,
,รอแล้วอร่อยซัวร์,,150,,,,,,,
,รอหน่อยอร่อยแน่,,170,,,,,,,
,รอแน่อร่อยนาน,,190,,,,,,,
,รอนานอร่อยแน่,,340,,,,,,,
,กุ้งแม่น้ำราดซอสมะขาม 4-6 ตัว,,240,,,,,,,
,ลาบปลานิล,,250,,,,,,,
,ปลากระพงนึ่งซีอิ้ว,,320,,,,,,,
,ยำกุ้งฟู,,170,,,,,,,
,เมี่ยงปลากระพงทอดทรงเครื่อง,,340,,,,,,,
,เมี่ยงปลาทับทิมเผาทรงเครื่อง,,320,,,,,,,
,ผัดผงกระหรี่ เนื้อปู,,250,,,,,,,
,เป็ดกีต้าร์,,650,,,,,,,
,ห่อหมกทะเลมะพร้าวอ่อน,,290,,,,,,,
,ปลากระพงชนไก่,,170,,,,,,,
,ห่อหมกทะเลแตก,,290,,,,,,,
,ปลาทับทิบทิมนึ่งแจ่วทรงเครื่อง,,310,,,,,,,
,สามชั้นคั่วพริกเกลือ,,160,,,,,,,
,รอแล้วอร่อยชัวร์(ทอดมันกุ้ง),,180,,,,,,,
,กุ้งแม่น้ำดองซีอิ้ว,,220,,,,,,,
,แกงสัมชะอมไข่กุ้ง หม้อไฟ,,250,,,,,,,
จิ้มจุ่ม หมูกระทะ,ชุดหมูรวมทะเล,หมูหมัก I สามชั้น I เซี่ยงจี้ I ตับหมู I หอยแมลงภู่ I หมึก I กุ้ง,220,,,,,,,
,ชุดหมูล้วน,หมูหมัก | สามชั้น,149,,,,,,,
,ชุดหมูรวม,หมูหมัก I สามชั้น I เซี่ยงจี้ I ตับหมู,149,,,,,,,
,ชุดเนื้อรวมทะเล,เนื้อหมัก I เนื้อลาย I หอยแมลงภู่ I หมึก | กุ้ง,240,,,,,,,
,ชุดเนื้อรวม,เนื้อหมัก I เนื้อลาย I ตับเนื้อ I ผ้าขี้ริ้ว,199,,,,,,,
,ชุดเนื้อล้วน,เนื้อลาย I เนื้อน่อง l เนื้อหมัก,240,,,,,,,
,ชุดไก่ล้วน,เนื้อไก่,149,,,,,,,
,ทะเล,หอยแมลงภู่ I หมึก I กุ้ง I เนื้อปลากระพง,190,,,,,,,
,เนื้อไก่,,40,,,,,,,
,เนื้อปลากระพง,,60,,,,,,,
,หมูหมัก,,50,,,,,,,
,หมูสามชั้น,,60,,,,,,,
,เนื้อหมัก,,60,,,,,,,
,เนื้อลาย,,50,,,,,,,
,เนื้อน่อง,,55,,,,,,,
,หอยแมลงภู่,,60,,,,,,,
,หมึก,,40,,,,,,,
,กุ้ง,,40,,,,,,,
,ตับ,,40,,,,,,,
,เซี่ยงจี้,,40,,,,,,,
,ผ้าขี้ริ้ว,,20,,,,,,,
,หมูยอ,,20,,,,,,,
,ผักบุ้ง,,20,,,,,,,
,ผักกาดขาว,,20,,,,,,,
,กะหล่ำปลี,,10,,,,,,,
,เต้าหู้ไข่,,50,,,,,,,
,ข้าวโพดอ่อน,,40,,,,,,,
,ข้าวโพดหวาน,,55,,,,,,,
,ไข่ไก่,,20,,,,,,,
,ชุดผักรวม,,30,,,,,,,
เมนู ทอด ย่าง,คอหมูย่าง,,160,,,,,,,
,เนื้อย่าง,,170,,,,,,,
,เนื้อเสือย่าง,,170,,,,,,,
,ทอดมันกุ้ง,,180,,,,,,,
,กุ้งชุปแป้งทอด,,170,,,,,,,
,ไก่ย่าง,ครึ่งตัว,149,,,,,,,
,ไก่ย่าง,ตัว,249,,,,,,,
,ไส้ตันทอดกระเทียม,,140,,,,,,,
,ไส้พะโล้ทอด,,160,,,,,,,
,ขาหมูเยอรมันทอด,,450,,,,,,,
,หมูแดด,,130,,,,,,,
,เนื้อแดด,,150,,,,,,,
,แหนมซี่โครงหมูทอด,,140,,,,,,,
,เป็ดกีต้าร์,,650,,,,,,,
