Category,Name,Description,Price,Note,,,,,,
เมนูพิเศษ,คางกุ้งทอดกรอบ,,89,,,,,,,
,เนื้อสเต็กจิ้มแจ่ว,,399,,,,,,,
,ข้าวผัดแหนม,,149,,,,,,,
,ผัดแหนมคั่วไช่,,149,,,,,,,
,ไก่ผัดเม็ดมะม่วง,,179,,,,,,,
,ไข่ตุ๋นทะเลรวมมิตร,,219,,,,,,,
,ปลาหมึกผัดไข่เค็ม,,199,,,,,,,
เมนูสะท้านยุทธจักร,แซลมอนแซ่บ (150g),,279,,,,,,,
,กุ้งแช่น้ำปลา,,169,,,,,,,
,หมูมะนาว,,129,,,,,,,
,เนื้อมะนาว,,159,,,,,,,
,เบคอนผัดพริกเกลือ,,119,,,,,,,
,ลาบหมูทอด,,159,,,,,,,
,ข้อไก่ทอด,,109,,,,,,,
,แหนมข้อไก่ทอด,,119,,,,,,,
,แหนมซี่โครงหมูอ่อนทอด,,129,,,,,,,
,แหนมทอดกรอบ,,129,,,,,,,
,เฟรนช์ฟรายส์,,99,,,,,,,
,นักเก็ต,,109,,,,,,,
,หนังไก่ชุบแป้งทอด,,119,,,,,,,
,ไส้กรอกอีสาน,,69,,,,,,,
,ไส้กรอกคอกเทล,,99,,,,,,,
,ข้าวเกรียบน้ำพริกเผา,,89,,,,,,,
เมนูเจ้าสำนัก,ปีกไก่ทอด,,129,,,,,,,
,หมูกรอบผัดพริกเกลือ,,179,,,,,,,
,สามชั้นทอดน้ำปลา,,169,,,,,,,
,ซี่โครงหมูทอด,,129,,,,,,,
,ไก่ผัดหมาล่า,,169,,,,,,,
,หมูผัดซอสเผ็ด,,169,,,,,,,
,กะหล่ำปลีทอดน้ำปลา,,99,,,,,,,
,ข้าวสวย,,19,,,,,,,
,ไข่ดาว,,19,,,,,,,
นางพญาปากแดง,ยำถั่วพูกุ้งสด,,159,,,,,,,
,ยำวุ้นเส้นหมูสับ,,149,,,,,,,
,ยำวุ้นเส้นทะเล,,179,,,,,,,
,ยำมาม่าหมูสับ,,149,,,,,,,
,ยำมาม่าทะเล,,179,,,,,,,
,ยำทะเลรวมมิตร,,189,,,,,,,
มหาเวทดูดดาว,ต้มยำทะเล,,199,,,,,,,
,หมึกนึ่งมะนาว,,199,,,,,,,
,ต้มข่าไก่,,189,,,,,,,
,ต้มแซ่บกระดูกหมู,,199,,,,,,,
วิชากระบี่เดียวดาย,ข้าวไข่เจียว,,89,,,,,,,
,ข้าวไข่เจียวหมูสับ,,119,,,,,,,
,ข้าวไข่เจียว กุ้ง/หมีก,,149,,,,,,,
,ผัดมาม่าต้มยำหมูสับ,,149,,,,,,,
,มาม่าผัดขี้เมาทะเล,,179,,,,,,,
,กะเพราราดข้าว,หมู / ไก่,149,,,,,,,
,ผัดพริกเผาราดข้าว,หมู / ไก่,149,,,,,,,
,ผัดกระเทียมพริกไทยราดข้าว,หมู / ไก่,149,,,,,,,
