Category,Name,Description,Price,Note,,,,,,
ส้มตำ,ตำปูปลาร้า,,60,,,,,,,
,ตำไทย / ไข่เค็ม,,60 / 70,,,,,,,
,ตำโคราช,,60,,,,,,,
,ตำเส้นเล็กไข่กุ้ง,,60,,,,,,,
,ตำแดง,,60,,,,,,,
,ตำถั่วฝักยาว,,60,,,,,,,
,ตำมะม่วง,,60,,,,,,,
,ตำชั่ว,,70,,,,,,,
,ตำหลวงพระบาง,,100,,,,,,,
,ตำข้าวโพด / ไข่เค็ม,,70 / 80.,,,,,,,
,ตำป้า,,80,,,,,,,
,ตำหมูยอ,,80,,,,,,,
,ตำคอหมูย่าง,,80,,,,,,,
,ตำหอยดอง,,80,,,,,,,
,ตำหอยแครง,,80,,,,,,,
,ตำกุ้งสด / กุ้งลวก,,100,,,,,,,
,ตำแซลมอน,,120,,,,,,,
,สัมตำทอด,,150,,,,,,,
,ตำในกระทรวง,,200,,,,,,,
ตำเหลา,ตำเหลาเล็บมือนาง,,80,,,,,,,
,ตำเหลาสไบนาง,,120,,,,,,,
,ตำเหลาปลาหมึก,,120,,,,,,,
,ตำเหลาหมูยอไข่แดงเค็ม,,120,,,,,,,
,ตำเหลาหอยแครง,,120,,,,,,,
,ตำเหลาแซลมอน,,140,,,,,,,
,ตำเหลากุ้งสด,,140,,,,,,,
,ตำเหลารวมมิตร,,200,,,,,,,
ยำ,ยำถั่วลิสง,,40,,,,,,,
,แหนมทรงเครื่อง,,70,,,,,,,
,ยำขนมจีน,,80,,,,,,,
,ยำมาม่า / วุ้นเส้น หมูสับ,,80,,,,,,,
,ยำมาม่า / วุ้นเส้น หมูยอ,,80,,,,,,,
,ยำปูอัด,,80,,,,,,,
,ยำหมูยอ,,80,,,,,,,
,ยำคอหมูย่าง,,90,,,,,,,
,ยำนมหมูย่าง,,100,,,,,,,
,ยำปลาหมึก,,120,,,,,,,
,กุ้งแช่น้ำปลา,,130,,,,,,,
,ยำแซลมอน,,160,,,,,,,
ลาบ / น้ำตก,ซุปหน่อไม้,,60,,,,,,,
,ตับหวานหมู,,90,,,,,,,
,ตับหวานเนื้อ,,100,,,,,,,
,ลาบปลาดุก,,70,,,,,,,
,มาม่าลาบหมู,,80,,,,,,,
,ลาบเป็ด,,90,,,,,,,
,ลาบหมู / เนื้อ,,80 / 100,,,,,,,
,ลาบหมูทอด,,100,,,,,,,
,ลาบแซลมอน,,120,,,,,,,
,ลาบหมูกรอบ,,150,,,,,,,
,ลาบกุ้งสับ,,120,,,,,,,
,ลาบปลาหมึก,,120,,,,,,,
,น้ำตกคอหมูย่าง,,90,,,,,,,
,น้ำตกหมู / เนื้อ,,90 / 110.,,,,,,,
,น้ำตกนมหมูย่าง,,100,,,,,,,
,น้ำตกเสือร้องไห้,,120,,,,,,,
,ก้อยคั่วเนื้อ,,100,,,,,,,
,ก้อยเนื้อ (ขม),,100,,,,,,,
,ซอยจุ๊มินิ,,100,,,,,,,
ต้ม / ลวก,หมู / เนื้อ ลวกจิ้ม ,,80/100,,,,,,,
,เนื้อน่องแก้วลวกจิ้ม,,180,,,,,,,
,หอยแครงลวก ,,100,,,,,,,
,ต้มแซ่บเอ็นแก้วกระดูกหมูอ่อน ,,120,,,,,,,
,ต้มแซ่บหมู / เนื้อ,,100/120,,,,,,,
,ต้มแซ่บเนื้อน่องลาย ,,150,,,,,,,
,ต้มขมเนื้อ,,130,,,,,,,
,อ่อมหมู / เนื้อ ,,100/120,,,,,,,
ย่าง,ปลาดุกย่าง,,60,,,,,,,
,ไส้กรอกอีสาน,,60,,,,,,,
,ไส้หมูย่าง,,70,,,,,,,
,คอหมูย่าง,,70,,,,,,,
,นมหมูย่าง,,80,,,,,,,
,แก้มหมูย่าง,,150,,,,,,,
,เสือร้องไห้,,100,,,,,,,
,เนื้อสุ่ม,,120,,,,,,,
,เนื้อชายท้อง,,160,,,,,,,
,เนื้อใบพาย,,180,,,,,,,
,พิคานย่า,,180,,,,,,,
,หางว่าว,,220,,,,,,,
,เสือร้องไห้วากิว,,280,,,,,,,
,เนื้อใบพายวากิว,,340,,,,,,,
,น่องลายย่าง,,120,,,,,,,
,ปลาหมีกย่าง,,120,,,,,,,
เสียบไม้ย่าง,ปึกไก่เหลือง ไม้ละ,,25,,,,,,,
,หนังไก่ย่างเกลือ ไม้ละ,,35,,,,,,,
,ตับไก่ย่างซอส ไม้ละ,,35,,,,,,,
,หมูสามชั้นย่างเกลือพริกไทย ไม้ละ,,40,,,,,,,
,ปีกไก่ย่างเกลือพริกไทย ไม้ละ,,45,,,,,,,
,ผ้าขี้ริ้วห่อตับย่าง ไม้ละ,,50,,,,,,,
,นึกว่าปลาไหล (ปลาดุกย่าง),,60,,,,,,,
,ลิ้นวัวย่างเกลือพริกไทย ไม้ละ,,85,,,,,,,
ทอด,ปึกไก่ทอด,,50,,,,,,,
,ไส้หมูทอด,,60,,,,,,,
,สามชั้นทอด,,80,,,,,,,
,หมูสวรรค์ทอด,,80,,,,,,,
,หมูยอทอด,,80/100,,,,,,,
,หมู / เนื้อ แดดเดียว,,120,,,,,,,
,ปากเป็ดทอด,,150,,,,,,,
,หมูกรอบทอด,,80,,,,,,,
อิสานฟิวชั่น,ปลาแซลมอนซาซิมิ,,150,,,,,,,
,ยำทูน่าวาซาบ,,180,,,,,,,
,ลาบปลาทูน่าเนื้อแดง,,200,,,,,,,
,ลาบปลาฮามาจิ,,200,,,,,,,
,ปลาทูน่าเนื้อแดงซาซิมิ,,220,,,,,,,
,ฮามาจิซาซิมิ,,220,,,,,,,
,ทูน่าทาร์ทาร์อะโวคาโด,,280,,,,,,,
,ยูเกะเนื้อ,,340,,,,,,,
,ซาซิมิรวม 5 อย่าง,,490,,,,,,,
เมนูเชฟรังสรรค์พิเศษ,ข้าวผัดไข่,,70,,,,,,,
,ข้าวผัดปลาร้า,,80,,,,,,,
,ข้าวผัดหมู / ไก่ / เนื้อ,,90,,,,,,,
,ข้าวผัดหมูยอ,,80,,,,,,,
,ผัดมาม่าหมู/ไก่/เนื้อ,,90,,,,,,,
,ไข่เจียว,,70,,,,,,,
,ไข่เจียวหมูสับ,,80,,,,,,,
อื่นๆ,ข้าวเหนียว,,10,,,,,,,
,ข้าวเปล่า,,10,,,,,,,
,ขนมจีน,,15,,,,,,,
,มาม่าลวก,,15,,,,,,,
,แคบหมู,,20,,,,,,,
,ไข่ดองซีอิ้ว,,25,,,,,,,
,เส้นหมี่คลุกกากหมู,,40,,,,,,,
,วาซาบิดอง (15g.),,40,,,,,,,
,,,,,,,,,,
เครื่องดื่ม,น้ำเปล่า,,20,,,,,,,
,โค้ก / โค้กซีโร่,,25,,,,,,,
,สไปรท์,,25,,,,,,,
,โซดาสิงห์,,25,,,,,,,
,น้ำแข็ง,,20,,,,,,,
,เบียร์ลีโอ (620 ml.),,90,,,,,,,
,เบียร์สิงห์ (620 ml.),,100,,,,,,,
,รีเจนซี่แบน,,490,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
