Category,Name,Description,Price,Note,,,,,,
น้ำพริก,ชุดข้าวน้ำพริกเผาปลาสลิด,,80,,,,,,,
,ชุดข้าวน้ำพริกกะปิปลาทู,,70,,,,,,,
,ชุดข้าวน้ำพริกผักสุขภาพ,,50,,,,,,,
,ข้าวผัดน้ำพริกเผาปลาสลิด,,80,,,,,,,
,ข้าวผัดน้ำพริกกะปิปลาทู,,70,,,,,,,
,ข้าวผัดน้ำพริกลงเรือ,,70,,,,,,,
ข้าวผัด/ของทอด,ข้าวผัดปลาสลิด/ปู/กุ้ง/ทะเล,,80,,,,,,,
,ข้าวผัดหมู/ไก่/ปลาทู,,60,,,,,,,
,ข้าวคลุกกะปิ,,70,,,,,,,
,ข้าวผัดต้มยำกุ้ง/ทะเล,,80,,,,,,,
,ข้าวผัดอเมริกัน,,80,,,,,,,
,ข้าวผัดเขียวหวานไก่/หมู,,60,,,,,,,
,ข้าวผัดหมูโบราณ,,60,,,,,,,
,ข้าวไข่เจียวหมูสับ,,50,,,,,,,
,ข้าวหมูแดดเดียวทอด,,80,,,,,,,
,ข้าวสามชั้นทอดน้ำปลา,,80,,,,,,,
,ข้าวสามชั้น/กุ้งทอดคั่วพริกเกลือ,,80,,,,,,,
,ข้าวไก่/หมูทอดคั่วพริกเกลือ,,60,,,,,,,
เมนูเส้น,ผัดไทกุ้งสด,,80,,,,,,,
,ขนมจีนน้ำยาปู,,80,,,,,,,
,ก๋วยเตี๋ยวคั่วไก่,,60,,,,,,,
,มาม่าผัดขี้เมาหมู/ไก่,,60,,,,,,,
,มาม่าผัดต้มยำทะเล/กุ้ง,,80,,,,,,,
,สุกี้(น้ำ/แห้ง) หมู/ไก่,,60,,,,,,,
,สุกี้(น้ำ/แห้ง) กุ้ง/หมึก/ทะเล,,80,,,,,,,
เมนูตามสั่ง,ข้าวกะเพราหมู/ไก่,,60,,,,,,,
,ข้าวกะเพรากุ้ง/หมึก/ทะเล/เนื้อ/หมูกรอบ,,80,,,,,,,
,ข้าวหมูสามชั้นผัดกะปิ,,80,,,,,,,
,ข้าวหมูผัดกะปิ,,60,,,,,,,
,ข้าวผัดผงกะหรี่ทะเล/หมึก/กุ้ง,,80,,,,,,,
,ข้าวผัดฉ่ากุ้ง/หมึก/ทะเล,,80,,,,,,,
,ข้าวผัดพริกแกงหมู/ไก่,,60,,,,,,,
,ข้าวหมู/ไก่ผัดกระเทียมพริกไทย,,60,,,,,,,
,ตามสั่งหมู/ไก่,,60,,,,,,,
,ตามสั่งหมึก/กุ้ง/ทะเล,,80,,,,,,,
,หมูสามชั้น/หมูกรอบ/เนื้อ,,80,,,,,,,
,ไข่ต้ม/ไข่ดาว/ไข่เจียว,,10,,,,,,,
น้ำพริก,ชุดน้ำพริกเผาปลาสลิด,,159,,,,,,,
,ชุดน้ำพริกกะปิปลาทู,,139,,,,,,,
ต้ม / แกง,ต้มโคล้งปลาสลิด,,129/219,,,,,,,
,ต้มยำปลากะพง,,129/219,,,,,,,
,แกงส้มชะอมกุ้ง,,129/219,,,,,,,
,ต้มจืดเต้าหู้หมูสับ,,89/159,,,,,,,
ยำ,ยำปลาสลิด,,129,,,,,,,
,ยำวุ้นเส้นโบราณ,,79,,,,,,,
,ยำวุ้นเส้นหมูสับ/หมูยอ,,79,,,,,,,
,ยำวุ้นเส้นรวมมิตร,,129,,,,,,,
,ยำมาม่าหมูสับ/หมูยอ,,79,,,,,,,
